timestamp,x,y,timestamp_sec,dt,dx,dy,distance,velocity,acceleration,angle,angle_change,angular_velocity,is_fixation,fixation_group
1741709187760,785,365,64.226,0.03300000000000125,-75.0,-72.0,103.96634070698074,3150.495172938691,30110.65391173671,-2.376599820878883,0.8352992968295343,25.312099903924324,False,172
1741709187794,1024,504,64.26,0.034000000000006025,239.0,139.0,276.4814641164937,8131.807768130728,146509.1939762104,0.526772704824232,2.9033725257031158,85.39330957948827,False,172
1741709187828,980,540,64.294,0.033999999999991815,-44.0,36.0,56.85068161420758,1672.0788710065078,-189992.0263860522,2.455863142683507,1.9290904378592746,56.73795405469821,False,172
1741709187860,840,504,64.326,0.031999999999996476,-140.0,-36.0,144.55448799674122,4517.327749898661,88914.02746538956,-2.8899026818316065,0.9374194826644722,29.29435883326798,False,172
1741709187895,668,428,64.361,0.0350000000000108,-172.0,-76.0,188.04254837669055,5372.644239332358,24437.61398381237,-2.7255281478659703,0.16437453396563617,4.696415256159584,False,172
1741709187933,739,497,64.399,0.0379999999999967,71.0,69.0,99.00505037623081,2605.396062532616,-72822.32044210478,0.7711134208100516,-2.786543738503564,-73.33009838167911,False,172
1741709187960,814,480,64.426,0.027000000000001023,75.0,-17.0,76.90253571892151,2848.2420636636516,8994.29633818617,-0.22290023232837577,-0.9940136531384276,-36.815320486607035,False,172
1741709187993,725,474,64.459,0.03300000000000125,-89.0,-6.0,89.20201791439474,2703.0914519512535,-4398.503385224019,-3.074278777797088,-2.8513785454687124,-86.40541046874559,False,172
1741709188028,762,518,64.494,0.03499999999999659,37.0,44.0,57.48912940721924,1642.5465544921383,-30301.2827845491,0.8716037370732271,-2.337302792309271,-66.7800797802714,False,172
1741709188049,785,455,64.515,0.021000000000000796,23.0,-63.0,67.06713054842886,3193.6728832583963,73863.15851267615,-1.2207514385497507,-2.092355175622978,-99.63596074394755,False,172
1741709188078,621,384,64.544,0.028999999999996362,-164.0,-71.0,178.70926109186397,6162.388313513324,102369.49759501034,-2.7330271145450618,-1.512275675995311,-52.14743710329313,False,172
1741709188117,616,371,64.583,0.03900000000000148,-5.0,-13.0,13.92838827718412,357.1381609534254,-148852.56801435072,-1.9379701606131159,0.7950569539319456,20.38607574184399,False,172
1741709188150,765,365,64.616,0.03300000000000125,149.0,-6.0,149.12075643584967,4518.810801086182,126111.29212523028,-0.04024671177514055,1.8977234488379757,57.50677117690618,False,172
1741709188182,795,520,64.648,0.031999999999996476,30.0,155.0,157.87653403846943,4933.641688702713,12963.465238017996,1.379611867197882,1.419858578973023,44.37058059291185,False,172
1741709188212,893,525,64.678,0.030000000000001137,98.0,5.0,98.12746812182611,3270.9156040607463,-55424.20282139678,0.050976207075313404,-1.3286356601225686,-44.28785533741728,False,172
1741709188244,661,516,64.71,0.031999999999996476,-232.0,-9.0,232.17450333746814,7255.453229296679,124516.8007886366,-3.1028189925659686,3.1293901075383044,97.79344086058278,False,172
1741709188278,620,451,64.744,0.034000000000006025,-41.0,-65.0,76.8505042273634,2260.3089478632287,-146916.00827742837,-2.13353354955598,0.9692854430099889,28.50839538264168,False,172
1741709188312,639,456,64.778,0.034000000000006025,19.0,5.0,19.6468827043885,577.8494913054417,-49484.101663455556,0.25732371497108864,2.390857264527069,70.31933130960722,False,172
1741709188343,565,316,64.809,0.0309999999999917,-74.0,-140.0,158.35403373454054,5108.194636599449,146140.16597726516,-2.0570389598824015,-2.31436267485349,-74.65686047916482,False,172
1741709188376,539,252,64.842,0.03300000000000125,-26.0,-64.0,69.07966415668217,2093.3231562630167,-91359.74182837327,-1.9566789961929705,0.10035996368943101,3.0412110208917333,False,172
1741709188411,734,315,64.877,0.03499999999999659,195.0,63.0,204.9243762952568,5854.98217986505,107475.9721029257,0.3124915597345191,2.2691705559274897,64.83344445507745,False,172
1741709188444,743,223,64.91,0.03300000000000125,9.0,-92.0,92.43916918709297,2801.186945063317,-92539.24953944294,-1.4732805235073505,-1.7857720832418695,-54.11430555278187,False,172
1741709188478,503,251,64.944,0.034000000000006025,-240.0,28.0,241.6278129686233,7106.700381428837,126632.7481283752,3.025451026709803,-1.7844537569624324,-52.48393402829753,False,172
1741709188512,673,435,64.978,0.033999999999991815,170.0,184.0,250.51147678300092,7367.984611266506,7684.830289345057,0.8249255870134637,-2.2005254396963396,-64.72133646167264,False,172
1741709188544,709,381,65.01,0.03200000000001069,36.0,-54.0,64.89992295835181,2028.1225924478167,-166870.6880880283,-0.982793723247329,-1.8077193102607927,-56.49122844563091,False,172
1741709188578,623,393,65.044,0.033999999999991815,-86.0,12.0,86.83317338436964,2553.9168642467807,15464.537405855606,3.002952916455635,-2.297438667476622,-67.57172551403457,False,172
1741709188611,685,210,65.077,0.03300000000000125,62.0,-183.0,193.2174940319846,5855.075576726584,100035.11249938418,-1.244135828220825,2.0360965625031264,61.699895833425735,False,172
1741709188643,782,478,65.109,0.031999999999996476,97.0,268.0,285.0140347421509,8906.688585693197,95362.90653021717,1.2235241230479195,2.467659951268745,77.11437347715678,False,172
1741709188676,546,432,65.142,0.03300000000000125,-236.0,-46.0,240.44126101815388,7286.09881873166,-49108.78081701441,-2.949091018779814,2.110570165351853,63.95667167732646,False,172
1741709188711,594,372,65.177,0.0350000000000108,48.0,-60.0,76.83749084919418,2195.356881404871,-145449.76963786338,-0.8960553845713439,2.05303563420847,58.65816097736676,False,172
1741709188745,432,204,65.211,0.033999999999991815,-162.0,-168.0,233.3838040653207,6864.229531334614,137319.7838214961,-2.3380146751193664,-1.4419592905480225,-42.410567369069696,False,172
1741709188778,344,247,65.244,0.03300000000000125,-88.0,43.0,97.94386147176351,2967.995802174539,-118067.68876242204,2.687077210808398,-1.2580934212518216,-38.12404306823557,False,172
1741709188811,750,613,65.277,0.03300000000000125,406.0,366.0,546.6186970823446,16564.202941888605,412006.2769610167,0.7336309841183902,-1.9534462266900077,-59.19534020272526,False,172
1741709188845,647,574,65.311,0.034000000000006025,-103.0,-39.0,110.13627921806692,3239.3023299425704,-391908.84152775514,-2.779633896352064,2.769920426709132,81.4682478443718,False,172
1741709188876,570,321,65.342,0.0309999999999917,-77.0,-253.0,264.45793616376875,8530.90116657547,170696.7366656231,-1.8662371639386166,0.9133967324134478,29.464410723022333,False,172
